subject_id,session_id,is_behavior_pass,session_type
741137,741137_2024-10-10,true,brainwide
741137,741137_2024-10-11,false,brainwide
741148,741148_2024-10-15,false,brainwide
741148,741148_2024-10-17,true,brainwide
741148,741148_2024-10-18,true,brainwide
742903,742903_2024-10-21,true,brainwide
742903,742903_2024-10-22,true,brainwide
742903,742903_2024-10-23,true,brainwide
742903,742903_2024-10-24,true,brainwide
743199,743199_2024-12-03,true,brainwide
743199,743199_2024-12-04,true,brainwide
743199,743199_2024-12-05,true,brainwide
743199,743199_2024-12-06,true,brainwide
744279,744279_2025-01-13,false,brainwide
744279,744279_2025-01-14,false,brainwide
744279,744279_2025-01-15,,
744279,744279_2025-01-16,false,brainwide
744740,744740_2024-11-11,,
744740,744740_2024-11-12,,
744740,744740_2024-11-13,,
744740,744740_2024-11-14,,
746439,746439_2025-01-27,false,naive
746439,746439_2025-01-28,false,brainwide
746439,746439_2025-01-29,false,brainwide
746439,746439_2025-01-30,false,brainwide
746439,746439_2025-01-31,true,brainwide
750329,750329_2024-11-25,false,brainwide
750329,750329_2024-11-26,false,brainwide
750329,750329_2024-11-27,true,brainwide
751595,751595_2024-11-20,,
754852,754852_2025-02-10,,
754852,754852_2025-02-11,,
754852,754852_2025-02-12,,
754852,754852_2025-02-13,,
759434,759434_2025-02-03,true,brainwide
759434,759434_2025-02-04,true,brainwide
759434,759434_2025-02-05,true,brainwide
759434,759434_2025-02-06,true,brainwide
759434,759434_2025-02-07,true,brainwide
761583,761583_2024-12-16,true,brainwide
761583,761583_2024-12-20,,
762526,762526_2025-03-18,,
762526,762526_2025-03-19,,
762526,762526_2025-03-21,,
795555,795555_2025-08-21,false,brainwide
795555,795555_2025-08-22,false,brainwide
795555,795555_2025-08-25,false,brainwide
795555,795555_2025-08-26,false,brainwide
796012,796012_2025-07-10,false,brainwide
796012,796012_2025-07-11,false,brainwide
796012,796012_2025-07-14,false,brainwide
796012,796012_2025-07-15,false,brainwide
796847,796847_2025-07-29,false,brainwide
796847,796847_2025-07-30,false,brainwide
796847,796847_2025-07-31,false,brainwide
796847,796847_2025-08-01,false,brainwide
796848,796848_2025-07-14,,
796848,796848_2025-07-16,,
796848,796848_2025-07-17,,
798632,798632_2025-08-29,false,brainwide
798632,798632_2025-09-02,false,brainwide
798632,798632_2025-09-03,false,brainwide
798632,798632_2025-09-04,false,brainwide
801857,801857_2025-09-25,,
805752,805752_2025-10-20,,
805752,805752_2025-10-21,,
805752,805752_2025-10-22,,
805752,805752_2025-10-23,,
805752,805752_2025-10-24,,
807082,807082_2025-09-29,false,brainwide
